nohup: ignoring input
wandb: Appending key for api.wandb.ai to your netrc file: /home/navarro/.netrc
wandb: Currently logged in as: luismedrano2000 (luismedrano2000-university-of-zaragoza) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /home/navarro/FM-3D-Turbulence/wandb/run-20250522_171202-q1f6g7pk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run wobbly-darkness-151
wandb: ⭐️ View project at https://wandb.ai/luismedrano2000-university-of-zaragoza/fm
wandb: 🚀 View run at https://wandb.ai/luismedrano2000-university-of-zaragoza/fm/runs/q1f6g7pk
Loading config...
cuda:3
Loading dataset...
N_time: 100, N_channels: 4, Nx: 128, Ny: 128, Nz: 128
Data mean: tensor([ 0.0244, -0.4655, -0.2085, -0.0685]), std: tensor([0.5439, 0.5585, 0.7061, 0.3694])
Velocity shape: torch.Size([100, 3, 128, 128, 128])
Pressure shape: torch.Size([100, 1, 128, 128, 128])
Vorticity shape: torch.Size([100, 3, 128, 128, 128])
Vorticity magnitude shape: torch.Size([100, 1, 128, 128, 128])
Velocity mean: tensor([ 0.0244, -0.4655, -0.2085]), std: tensor([0.5439, 0.5585, 0.7061])
Pressure mean: tensor([-0.0685]), std: tensor([0.3694])
Vorticity mean: tensor([-0.0026,  0.0051,  0.0053]), std: tensor([0.0830, 0.0897, 0.0814])
Vorticity magnitude mean: tensor([0.1137]), std: tensor([0.0932])
Starting training...
Epoch [1/1000], Loss: 0.0291, Validation Loss: 0.5556
Epoch [2/1000], Loss: 0.0322, Validation Loss: 0.4092
Epoch [3/1000], Loss: 0.0154, Validation Loss: 0.2604
Epoch [4/1000], Loss: 0.0197, Validation Loss: 0.1846
Epoch [5/1000], Loss: 0.0076, Validation Loss: 0.1989
Epoch [6/1000], Loss: 0.0066, Validation Loss: 0.1783
Epoch [7/1000], Loss: 0.0058, Validation Loss: 0.1225
Epoch [8/1000], Loss: 0.0077, Validation Loss: 0.0982
Epoch [9/1000], Loss: 0.0057, Validation Loss: 0.1692
Saved checkpoint: runs/080/epoch_10_0.0046_0.1035.pth
Epoch [10/1000], Loss: 0.0046, Validation Loss: 0.1035
Epoch [11/1000], Loss: 0.0044, Validation Loss: 0.1737
Epoch [12/1000], Loss: 0.0043, Validation Loss: 0.0823
Epoch [13/1000], Loss: 0.0039, Validation Loss: 0.0895
Epoch [14/1000], Loss: 0.0048, Validation Loss: 0.0755
Epoch [15/1000], Loss: 0.0038, Validation Loss: 0.1447
Epoch [16/1000], Loss: 0.0039, Validation Loss: 0.0739
Epoch [17/1000], Loss: 0.0039, Validation Loss: 0.0712
Epoch [18/1000], Loss: 0.0043, Validation Loss: 0.0664
Epoch [19/1000], Loss: 0.0049, Validation Loss: 0.0668
Saved checkpoint: runs/080/epoch_20_0.0037_0.1632.pth
Epoch [20/1000], Loss: 0.0037, Validation Loss: 0.1632
Epoch [21/1000], Loss: 0.0031, Validation Loss: 0.1109
Epoch [22/1000], Loss: 0.0034, Validation Loss: 0.1421
